customer_id,signup_date
CUST0000,2022-04-20
CUST0001,2021-09-12
CUST0002,2022-09-29
CUST0003,2020-05-11
CUST0004,2022-07-27
CUST0005,2024-05-12
CUST0006,2020-07-27
CUST0007,2022-05-14
CUST0008,2021-09-08
CUST0009,2022-09-16
CUST0010,2022-09-22
CUST0011,2024-03-01
CUST0012,2021-11-27
CUST0013,2024-08-27
CUST0014,2023-05-24
CUST0015,2021-10-17
CUST0016,2023-10-24
CUST0017,2020-03-26
CUST0018,2024-07-22
CUST0019,2021-02-19
CUST0020,2023-03-24
CUST0021,2021-10-16
CUST0022,2024-04-05
CUST0023,2020-08-09
CUST0024,2024-04-16
CUST0025,2021-03-28
CUST0026,2024-07-22
CUST0027,2022-07-25
CUST0028,2021-01-05
CUST0029,2023-02-01
CUST0030,2024-03-31
CUST0031,2024-12-25
CUST0032,2022-09-03
CUST0033,2023-09-21
CUST0034,2024-08-23
CUST0035,2022-11-02
CUST0036,2024-06-05
CUST0037,2024-01-11
CUST0038,2024-05-07
CUST0039,2020-12-29
CUST0040,2022-03-21
CUST0041,2024-04-09
CUST0042,2020-03-12
CUST0043,2023-04-27
CUST0044,2023-03-10
CUST0045,2022-12-04
CUST0046,2020-07-23
CUST0047,2022-12-01
CUST0048,2020-03-24
CUST0049,2024-02-07
CUST0050,2024-09-23
CUST0051,2020-06-19
CUST0052,2021-11-13
CUST0053,2023-05-10
CUST0054,2023-09-07
CUST0055,2023-11-19
CUST0056,2020-02-25
CUST0057,2024-07-08
CUST0058,2021-10-06
CUST0059,2023-06-17
CUST0060,2021-08-12
CUST0061,2021-05-26
CUST0062,2024-09-28
CUST0063,2022-06-10
CUST0064,2020-06-12
CUST0065,2020-09-26
CUST0066,2021-04-27
CUST0067,2022-07-04
CUST0068,2022-06-03
CUST0069,2024-12-28
CUST0070,2024-08-17
CUST0071,2021-11-20
CUST0072,2021-11-15
CUST0073,2022-01-01
CUST0074,2024-11-30
CUST0075,2023-02-21
CUST0076,2022-01-03
CUST0077,2020-06-25
CUST0078,2023-10-13
CUST0079,2023-10-14
CUST0080,2021-08-02
CUST0081,2024-10-08
CUST0082,2021-10-22
CUST0083,2020-04-10
CUST0084,2022-02-15
CUST0085,2021-11-28
CUST0086,2021-01-20
CUST0087,2023-07-28
CUST0088,2020-08-19
CUST0089,2020-07-01
CUST0090,2021-02-02
CUST0091,2022-11-15
CUST0092,2021-05-17
CUST0093,2021-10-27
CUST0094,2024-01-12
CUST0095,2024-01-23
CUST0096,2023-06-20
CUST0097,2022-12-26
CUST0098,2023-10-04
CUST0099,2022-11-15
CUST0100,2023-04-26
CUST0101,2023-07-15
CUST0102,2021-04-14
CUST0103,2022-02-24
CUST0104,2022-06-18
CUST0105,2023-05-09
CUST0106,2021-04-25
CUST0107,2022-11-07
CUST0108,2022-05-03
CUST0109,2022-10-10
CUST0110,2024-02-20
CUST0111,2020-11-05
CUST0112,2023-01-03
CUST0113,2023-06-28
CUST0114,2021-05-07
CUST0115,2020-11-16
CUST0116,2020-02-11
CUST0117,2021-10-01
CUST0118,2024-09-16
CUST0119,2020-06-08
CUST0120,2020-04-15
CUST0121,2024-12-21
CUST0122,2022-07-07
CUST0123,2022-03-20
CUST0124,2021-07-25
CUST0125,2020-08-02
CUST0126,2023-06-14
CUST0127,2020-06-18
CUST0128,2020-04-28
CUST0129,2020-04-30
CUST0130,2020-08-25
CUST0131,2020-12-11
CUST0132,2020-09-18
CUST0133,2023-09-26
CUST0134,2024-08-15
CUST0135,2020-02-14
CUST0136,2020-10-01
CUST0137,2022-01-05
CUST0138,2022-04-27
CUST0139,2023-05-27
CUST0140,2024-01-22
CUST0141,2023-09-22
CUST0142,2020-12-17
CUST0143,2021-11-21
CUST0144,2023-05-30
CUST0145,2021-01-24
CUST0146,2024-01-31
CUST0147,2020-06-28
CUST0148,2023-08-07
CUST0149,2020-05-27
CUST0150,2020-10-11
CUST0151,2022-03-25
CUST0152,2022-10-04
CUST0153,2020-05-22
CUST0154,2024-02-15
CUST0155,2023-08-08
CUST0156,2021-03-11
CUST0157,2020-02-01
CUST0158,2020-07-13
CUST0159,2022-02-10
CUST0160,2021-02-12
CUST0161,2021-02-02
CUST0162,2022-12-02
CUST0163,2022-02-06
CUST0164,2020-09-05
CUST0165,2023-04-05
CUST0166,2024-03-01
CUST0167,2022-06-22
CUST0168,2022-02-24
CUST0169,2023-05-26
CUST0170,2021-08-20
CUST0171,2021-01-10
CUST0172,2023-04-04
CUST0173,2024-11-01
CUST0174,2022-10-17
CUST0175,2021-09-27
CUST0176,2024-04-08
CUST0177,2023-01-17
CUST0178,2022-01-22
CUST0179,2021-07-31
CUST0180,2020-10-14
CUST0181,2021-01-04
CUST0182,2023-11-14
CUST0183,2023-11-26
CUST0184,2020-02-18
