customer_id,purchase_date,amount
CUST0000,2024-10-23,5.98
CUST0000,2022-08-15,201.12
CUST0000,2024-11-16,91.91
CUST0000,2023-12-23,123.13
CUST0000,2024-11-07,2.08
CUST0001,2024-05-19,36.28
CUST0001,2024-07-06,74.39
CUST0001,2024-05-23,56.55
CUST0001,2023-02-08,34.42
CUST0002,2024-06-23,153.79
CUST0002,2023-12-14,22.27
CUST0002,2023-07-10,72.2
CUST0002,2023-06-19,89.75
CUST0003,2021-08-30,6.73
CUST0003,2022-02-08,297.37
CUST0004,2024-12-29,68.35
CUST0004,2024-05-03,3.5
CUST0004,2024-04-26,240.04
CUST0004,2024-04-27,29.95
CUST0004,2023-07-18,108.63
CUST0004,2024-05-21,37.35
CUST0005,2024-10-17,21.81
CUST0005,2025-02-21,4.63
CUST0005,2025-04-12,39.35
CUST0005,2024-06-23,49.21
CUST0005,2024-07-17,31.66
CUST0005,2024-11-12,176.46
CUST0005,2025-01-08,44.12
CUST0005,2025-01-03,32.98
CUST0005,2024-11-30,78.24
CUST0006,2021-05-28,22.15
CUST0006,2021-04-05,0.55
CUST0006,2024-12-27,168.99
CUST0006,2022-01-05,122.71
CUST0007,2024-10-14,198.85
CUST0007,2024-02-25,97.63
CUST0007,2022-10-18,40.18
CUST0007,2022-10-13,6.57
CUST0008,2022-01-03,124.91
CUST0008,2024-09-20,143.04
CUST0008,2021-10-08,82.39
CUST0008,2024-04-24,147.39
CUST0008,2022-03-31,68.08
CUST0008,2022-07-24,73.97
CUST0009,2024-11-20,3.19
CUST0009,2023-01-01,101.17
CUST0010,2024-12-01,8.01
CUST0010,2023-03-30,34.21
CUST0010,2022-11-05,17.58
CUST0010,2024-05-01,265.5
CUST0010,2023-10-29,165.09
CUST0010,2023-11-17,100.35
CUST0011,2024-04-05,25.87
CUST0011,2025-03-31,55.71
CUST0011,2025-04-02,170.38
CUST0011,2024-09-02,197.13
CUST0011,2024-11-14,0.7
CUST0011,2024-04-25,71.49
CUST0011,2024-05-03,54.03
CUST0011,2025-02-04,25.12
CUST0012,2023-08-11,121.41
CUST0012,2025-02-13,45.2
CUST0012,2023-11-16,356.78
CUST0012,2024-02-23,328.2
CUST0013,2025-04-25,94.05
CUST0013,2024-12-05,69.85
CUST0013,2024-10-13,5.29
CUST0013,2025-02-04,32.66
CUST0014,2024-12-20,111.52
CUST0014,2023-10-10,143.39
CUST0014,2025-04-23,27.13
CUST0014,2024-04-07,130.27
CUST0014,2025-03-19,45.85
CUST0015,2024-02-12,20.64
CUST0015,2022-08-08,4.16
CUST0015,2024-09-23,89.38
CUST0015,2025-02-01,113.19
CUST0015,2023-04-16,1.67
CUST0016,2024-09-03,276.03
CUST0016,2024-04-28,14.79
CUST0016,2024-02-05,41.71
CUST0016,2024-06-14,12.04
CUST0016,2024-10-09,258.62
CUST0017,2024-11-18,227.51
CUST0017,2022-04-20,230.68
CUST0017,2025-03-26,100.27
CUST0017,2022-03-03,41.4
CUST0017,2024-02-01,42.96
CUST0017,2023-06-10,129.45
CUST0017,2025-01-22,227.41
CUST0018,2024-09-03,228.82
CUST0018,2024-10-21,93.25
CUST0018,2024-08-02,0.92
CUST0018,2025-04-06,10.7
CUST0019,2021-11-28,17.53
CUST0020,2024-10-19,137.24
CUST0020,2023-04-09,104.88
CUST0020,2023-11-23,189.2
CUST0020,2023-05-06,107.18
CUST0020,2023-06-20,84.0
CUST0020,2023-09-16,9.84
CUST0021,2023-02-09,158.38
CUST0021,2022-05-03,69.84
CUST0021,2023-08-20,86.02
CUST0021,2023-09-14,67.83
CUST0021,2024-02-28,21.72
CUST0021,2024-10-08,128.18
CUST0022,2024-04-23,19.49
CUST0022,2024-12-28,282.11
CUST0023,2024-09-29,263.55
CUST0023,2021-09-25,55.89
CUST0023,2020-09-05,340.08
CUST0024,2024-08-17,81.37
CUST0024,2025-05-01,275.13
CUST0024,2024-05-20,119.08
CUST0024,2024-11-23,84.41
CUST0024,2024-07-15,10.22
CUST0024,2024-06-21,95.45
CUST0025,2022-01-01,165.74
CUST0025,2021-07-09,166.13
CUST0025,2022-06-03,201.8
CUST0025,2023-09-16,244.46
CUST0025,2024-04-28,71.61
CUST0025,2023-05-28,69.62
CUST0025,2022-05-09,160.09
CUST0025,2023-06-03,104.97
CUST0026,2024-11-25,86.34
CUST0026,2024-10-19,3.66
CUST0026,2024-08-16,62.66
CUST0026,2025-03-17,78.23
CUST0026,2025-03-06,33.76
CUST0027,2024-08-27,172.94
CUST0027,2023-05-05,44.66
CUST0028,2021-03-14,5.31
CUST0028,2024-09-19,75.79
CUST0028,2023-04-28,77.79
CUST0028,2022-01-14,101.45
CUST0028,2022-01-19,129.5
CUST0029,2023-03-19,2.57
CUST0029,2025-02-15,328.74
CUST0029,2023-07-05,180.78
CUST0029,2023-12-09,119.06
CUST0029,2025-02-25,52.59
CUST0029,2025-04-20,19.03
CUST0030,2025-03-17,309.81
CUST0030,2024-07-17,133.9
CUST0030,2025-03-27,80.82
CUST0030,2024-07-21,94.6
CUST0030,2025-04-25,54.4
CUST0031,2025-02-15,12.34
CUST0031,2025-03-23,4.71
CUST0031,2025-01-23,4.16
CUST0032,2024-01-08,19.02
CUST0032,2023-06-22,56.89
CUST0032,2023-06-21,50.83
CUST0032,2024-04-18,95.67
CUST0032,2024-09-21,100.81
CUST0033,2024-08-18,194.13
CUST0033,2025-04-03,107.5
CUST0033,2025-03-15,17.79
CUST0034,2025-04-06,88.13
CUST0034,2025-04-09,281.73
CUST0035,2024-05-29,7.19
CUST0035,2024-08-11,10.62
CUST0035,2023-04-19,1.84
CUST0035,2025-02-26,9.92
CUST0035,2023-03-29,114.89
CUST0035,2025-02-05,7.38
CUST0035,2024-07-12,38.42
CUST0035,2023-03-27,186.35
CUST0035,2024-04-11,2.35
CUST0036,2024-07-17,33.13
CUST0036,2024-08-30,19.53
CUST0036,2024-10-22,138.88
CUST0036,2024-12-16,164.42
CUST0036,2024-07-19,465.7
CUST0036,2024-08-25,53.21
CUST0036,2025-03-03,46.52
CUST0037,2024-02-17,232.84
CUST0037,2024-04-28,70.37
CUST0037,2024-01-11,175.13
CUST0037,2025-02-17,38.57
CUST0037,2024-09-14,225.88
CUST0037,2024-10-09,49.3
CUST0037,2025-01-06,1.09
CUST0038,2024-05-28,34.7
CUST0038,2024-12-30,39.85
CUST0038,2024-09-07,111.63
CUST0038,2024-10-04,139.58
CUST0038,2025-03-04,156.82
CUST0038,2024-06-16,155.88
CUST0038,2025-01-19,9.56
CUST0039,2024-09-01,43.22
CUST0039,2023-08-29,12.45
CUST0039,2021-08-30,15.43
CUST0039,2021-09-26,143.34
CUST0040,2023-12-04,120.72
CUST0040,2024-05-04,7.55
CUST0041,2024-04-09,431.55
CUST0041,2024-08-18,46.88
CUST0041,2025-02-11,46.31
CUST0042,2023-07-15,236.82
CUST0042,2021-02-07,11.79
CUST0042,2024-02-11,67.85
CUST0042,2020-10-25,1.14
CUST0042,2023-11-07,63.24
CUST0042,2022-04-05,5.8
CUST0042,2020-03-15,12.65
CUST0042,2023-11-18,12.5
CUST0043,2024-11-21,330.29
CUST0043,2023-10-08,1.22
CUST0043,2024-01-05,350.25
CUST0043,2024-09-15,4.41
CUST0043,2023-11-02,221.77
CUST0043,2025-01-27,75.01
CUST0043,2025-02-06,495.68
CUST0044,2024-08-31,98.77
CUST0044,2023-11-06,87.78
CUST0044,2024-02-18,231.42
CUST0044,2023-10-07,4.65
CUST0044,2023-08-29,32.98
CUST0044,2024-02-14,300.4
CUST0045,2023-05-21,43.6
CUST0045,2024-04-07,87.62
CUST0045,2025-01-13,8.09
CUST0045,2023-04-29,366.5
CUST0045,2024-09-17,428.39
CUST0046,2023-12-03,95.04
CUST0046,2024-07-01,54.17
CUST0046,2022-10-18,269.9
CUST0046,2023-10-31,201.04
CUST0046,2024-06-04,4.63
CUST0046,2022-02-28,2.67
CUST0046,2022-09-16,47.23
CUST0046,2024-05-14,166.36
CUST0046,2023-02-04,436.43
CUST0047,2025-01-30,31.94
CUST0047,2022-12-12,5.8
CUST0047,2023-09-20,200.04
CUST0047,2024-08-10,167.61
CUST0047,2025-01-10,817.24
CUST0047,2023-11-07,569.49
CUST0047,2024-04-23,81.07
CUST0048,2024-08-19,25.96
CUST0048,2023-03-09,111.38
CUST0048,2025-03-14,96.27
CUST0048,2024-11-25,44.34
CUST0048,2022-01-03,12.05
CUST0048,2021-08-15,111.34
CUST0048,2021-04-24,73.46
CUST0049,2024-11-09,2.92
CUST0049,2024-12-21,140.71
CUST0049,2024-05-26,96.84
CUST0049,2024-11-12,121.77
CUST0049,2024-10-06,23.95
CUST0049,2024-03-18,14.66
CUST0049,2025-04-21,1.47
CUST0050,2025-03-03,153.09
CUST0050,2024-10-07,50.51
CUST0050,2024-10-23,97.31
CUST0050,2025-02-17,198.31
CUST0050,2025-01-11,298.62
CUST0050,2025-02-28,15.91
CUST0051,2023-07-01,27.46
CUST0051,2024-12-02,7.89
CUST0051,2025-01-03,13.8
CUST0051,2025-04-06,13.7
CUST0051,2022-09-12,16.48
CUST0051,2021-09-01,14.95
CUST0051,2024-10-05,102.41
CUST0052,2024-04-22,21.36
CUST0052,2024-11-01,4.17
CUST0052,2025-04-25,18.5
CUST0052,2024-05-04,32.65
CUST0052,2022-05-17,19.48
CUST0053,2023-10-31,23.11
CUST0053,2024-09-11,45.3
CUST0054,2025-02-19,206.81
CUST0054,2025-01-27,253.67
CUST0054,2023-12-23,6.3
